repository,commit,file,rule,severity,match_count,classification,evidence,root_cause,reviewer
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/mcp/server.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/dom/playground/multi_act.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/agent/prompts.py,LLM - Prompt Injection via format(),HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/actor/playground/flights.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/llm/vercel/chat.py,LLM - Secret Passed to LLM,CRITICAL,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/llm/openrouter/chat.py,LLM - Secret Passed to LLM,CRITICAL,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/llm/deepseek/chat.py,LLM - Secret Passed to LLM,CRITICAL,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,browser_use/llm/cerebras/chat.py,LLM - Secret Passed to LLM,CRITICAL,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/demo_mode_example.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/getting_started/03_data_extraction.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/getting_started/05_fast_agent.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/getting_started/04_multi_step_task.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/getting_started/01_basic_search.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/getting_started/02_form_filling.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/integrations/gmail_2fa_integration.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/integrations/agentmail/2fa.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/integrations/discord/discord_api.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/integrations/slack/slack_api.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/sandbox/structured_output.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/sandbox/example.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/buy_groceries.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/find_influencer_profiles.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/captcha.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/phone_comparison.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/onepassword.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/pcpartpicker.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/extract_pdf_content.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/check_appointment.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/use-cases/apply_to_job.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/features/csv_file_generation.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/features/video_recording.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/features/custom_output.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
browser-use/browser-use,d8110c5ff87ccba887aaa726cdb780f2f84bef8d,examples/features/large_blocklist.py,Agentic - Recursive Self-Invocation Risk,HIGH,1,,,,
